Cruise,Station,Latitude [degrees_north],Longitude [degrees_east],Date,Pressure,Depth [m],Bot. Depth [m],Temperature [degrees_C],Conductivity [mS/cm],Type
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.6092572763250352,1.64098539278506,41.6757171792824,23.184286117553711,10.758291015625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.6230224994662894,1.65502201106577,41.6757171792824,23.185758590698242,10.7587392578125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.6537469129761959,1.68635218711243,41.6757171792824,23.188106536865234,10.760548828125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7197048241057313,1.7536105244178,41.6757171792824,23.189258575439453,10.761228515625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7967882998104638,1.83221377792953,41.6757171792824,23.189769744873047,10.7689296875,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9549109803426248,1.99345400523106,41.6757171792824,23.181201934814453,10.773931640625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9522529780810487,1.99074359779689,41.6757171792824,23.183223724365234,10.74899609375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9170098317765021,1.95480559761981,41.6757171792824,23.178436279296875,10.7266591796875,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.8732904281477367,1.9102242222291,41.6757171792824,23.176387786865234,10.7284267578125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.8353970209178971,1.87158370858231,41.6757171792824,23.179031372070312,10.737927734375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7618506156497915,1.79658726238794,41.6757171792824,23.15464973449707,10.745103515625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7499190843354793,1.78442048900224,41.6757171792824,23.1584529876709,10.75569921875,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7488518108336688,1.78333217313607,41.6757171792824,23.165079116821289,10.7607041015625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7827519598172081,1.81790069745696,41.6757171792824,23.163055419921875,10.76127734375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9138532322683144,1.95158676259572,41.6757171792824,23.180116653442383,10.7708056640625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9405998702044922,1.97886073724544,41.6757171792824,23.185426712036133,10.7649052734375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9148963280869573,1.95265042409152,41.6757171792824,23.174596786499023,10.705853515625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.8640253207594615,1.90077644398356,41.6757171792824,23.161479949951172,10.90114453125,c
